"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","COUNTRY_CODE","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","HGT_IND","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","OB_PLATFORM","FM_CODE_VER","STA_WX_IND","PAST_WX2","IND_FOR_WAVE_MEAS","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","QC_IND","QC_IND_FOR_FIELDS","MQCS_VER","SHIP_HEADING","COURSE_OVER_GROUND","SPD_OVER_GROUND","MAX_HT_SUM_LOAD","DEP_LOAD_IN","REL_WIND_DIR","REL_WIND_SPD"
"22934","2014-05-01T11:01:00","-2.34","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"313",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-01T12:01:00","-2.32","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"311",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"MDGV9","2014-05-01T13:00:00","-4.90","112.50",,,"1","6","0","0","2","3","1","1",,"0","100","3","26",,"97","2","2","10102","4","0","0","295","0","260",,"245",,,"2","0","0",,"9","0","5","0","0","0",,,"333","42","992","114","5","1","2","1","F11111","111111111A1131",,,,,"1","2",,"0",,,,,,,,,,"4",,,,,,,,,,
"22934","2014-05-01T13:01:00","-2.30","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"310",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"9V9131","2014-05-01T14:00:00","-9.60","115.00",,,"1","5","0","0",,,,"1",,"0","140","4","51",,,,,"10140","0",,"3","300","0","260",,"250",,,,,,,"A",,,,,,,,"333","95","992","114","5","1","2","1","F11111","11AAA1111A8AA7",,,,,"1",,,,,,,,,,,,,"4",,,,,,,,,,
"22934","2014-05-01T14:01:00","-2.29","116.76",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"310",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-01T15:01:00","-2.28","116.77",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"309",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-01T16:01:00","-2.26","116.77",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"309",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-01T17:01:00","-2.25","116.77",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"310",,,,,,,,,,,,,"333","26","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"A8SO8","2014-05-01T18:00:00","-5.00","112.40",,,"1","6","0","0","6","2",,"1",,"0","100","4","41",,"98","13",,"10097","7","3","0","280","0","270",,"267",,,"2","1","1",,"5","4","5",,,,,,"333","52","992","114","5","1","2","1","F11111","1111A1111A1AA1",,,,,"1",,,,,,,,,,,,,"4",,,,,,,,,,
