"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"2200620","2015-04-01T07:01:00","-5.16","112.66",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","306",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-01T08:01:00","-6.64","116.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","304",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T08:01:00","-5.18","112.67",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","303",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-01T09:01:00","-6.66","116.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","304",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T09:01:00","-5.19","112.67",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","307",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-01T10:01:00","-6.67","116.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","303",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T10:01:00","-5.20","112.68",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","305",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"MGPU2","2015-04-01T11:00:00","-9.00","115.70",,,"1","4","0","0","8","3","1","1","0","120","4","72","98","2","2","10085","7","20","0","290","0","275",,"269","1","290","4","3","4","4","7","0","5","1","5","5","2","333","95","992","114","5","1","2","1","111111","11111111111111",,,"1","2",,,,,,,,,,,,"4"
"ONAC","2015-04-01T11:00:00","-6.60","116.50",,,"1","4","0","0",,,,"1",,,,,,,,,,,,,,,,,,,,,,"A",,,,,,,,"333","66","992","114","5","0",,"1","FFFFFF","1AAAAAAAAA8AAA",,,"1",,,,,,,,,,,,,"4"
"2200617","2015-04-01T11:01:00","-6.69","116.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","303",,,,,,,,,,,,"333","66","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T11:01:00","-5.22","112.68",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","304",,,,,,,,,,,,"333","52","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"A8UT6","2015-04-01T12:00:00","-5.70","113.90",,,"1","4","0","0","6","2",,"1","0","100","3","77",,"2",,"10080","0",,"0","290","0","270",,"262","1","260",,,,"A",,,,,,,,"333","53","992","114","5","1","2","1","411111","11A1A111118AA7",,,"1",,,,,,,,,,,,,"4"
"ONGI","2015-04-01T12:00:00","-2.50","118.60",,,"1","4","0","0","4","3",,"1","0","310","4","26",,,,"10100","6","20","0","300","0","280",,"274","1","290","6","6","1","3","A","A","5","1","7","5","1","333","28","992","114","5","1","2","1","111111","11AAA111111111",,,"1",,"7","5","1",,,,,,,,,"4"
"2200617","2015-04-01T12:01:00","-6.71","116.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","66","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T12:01:00","-5.23","112.69",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","52","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"OZCZ2","2015-04-01T13:00:00","-5.40","116.70",,,"1","4","0","0","6","4","1","1","0","60","4","36","97","2","2","10092","2","2","0","300","0","260",,"243","1","280","1","1","1","5","0","9","1","2",,,,"333","56","992","114","5","1","2","1","111111","111111111111A1",,,"1","2",,,,,,,,,,,,"4"
"2200617","2015-04-01T13:01:00","-6.72","116.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","66","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T13:01:00","-5.24","112.69",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","52","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-01T14:01:00","-6.74","116.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","66","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T14:01:00","-5.26","112.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,"333","52","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-01T15:01:00","-6.76","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","66","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T15:01:00","-5.27","112.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,"333","52","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-01T16:01:00","-6.77","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","66","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T16:01:00","-5.28","112.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,"333","52","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-01T17:01:00","-6.79","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","66","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T17:01:00","-5.30","112.72",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,"333","52","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"A8SZ3","2015-04-01T18:00:00","-6.30","116.60",,,"1","4","0","0","4","3",,"1","0","70","4","77","98","1","0","10080",,,"0","280","0","260",,"252",,,,,,"A",,,"2","1",,,,"333","66","992","114","5","1","2","1","F11111","111111111A81AA",,,"1","0",,,,,,,,,,,,"4"
"OZCZ2","2015-04-01T18:00:00","-5.40","115.40",,,"1","4","0","0","6","4","1","1","0","60","4","51","98","2","2","10074","1","10","0","300","0","270",,"258","1","290","6","5","1","4","6","9","2","1",,,,"333","55","992","114","5","1","2","1","111111","111111111111A1",,,"1","2",,,,,,,,,,,,"4"
"2200617","2015-04-01T18:01:00","-6.80","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,"333","66","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T18:01:00","-5.31","112.72",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,"333","52","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
